"longitude","latitude","gdp_growth_1960_1980","PrSc_Enroll","Life_Exp","GDPsh560","Mining","Eco_Org","Yrs_Open","English_pct","Foreign_pct","R_FEX_Dist","Equip_Inv","NEquip_Inv","std_BMP","Outwar_Or","Bl_Mkt_Pm","Area","LatAmerica","SubSahara","High_Enroll","PctPubl_Edu","Rev_and_Coup","War_Dummy","Pol_Rights","Civl_Lib","Abs_Lat","Age","Brit_Col","Buddha","Catholic","Confucious","EthnoL_Frac","French_Col","Hindu","Jewish","Muslim","Pr_Exports","Protestants","Rule_of_Law","Spanish_Col","Pop_g","Work_Pop","Lab_Force","country_name"
-89.179,13.775,85,0.8,50.8,7.2291,0.002,3,0.4,0,0.923,132,0.013,0.0674,33.5551,0,0.19,21,1,0,0.011,0.0224,0.56,1,3.2778,3.7778,13.775,0,0,0,0.75,0,0.17,0,0,0,0,0.713,0.2,0.1667,1,0.0223,-1.1202,838.334,"El Salvador"
-90.498,14.622,82,0.45,45.9,7.4012,0.003,3,0.422,0,0.588,109,0.02,0.0681,41.5205,0,0,109,1,0,0.016,0.0156,0.507,1,4,4.1111,14.622,90,0,0,0.95,0,0.64,0,0,0,0,0.72,0.03,0.1667,1,0.0279,-1.1401,1267.687,"Guatemala"
-72.67,18.932,-87,0.46,42.4,6.7696,0.002,3,0,0,0.075,114,0.0027,0.0683,0.001,0,0,28,1,0,0.004,0.0153,0.16,1,6.5,5.6667,18.932,0,0,0,0.8,0,0.01,1,0,0,0,0.744,0.16,0,0,0.0176,-0.6292,2029.131,"Haiti"
-87.24,14.194,87,0.67,46.8,6.9068,0.014,3,0.356,0.003,0.843,156,0.0446,0.0939,10.9696,1,0,112,1,0,0.011,0.0211,0.32,1,4.0556,3,14.194,80,0,0,0.97,0,0.16,0,0,0,0,0.919,0.02,0.1667,1,0.0332,-1.141,618.2325,"Honduras"
-76.753,18.055,106,0.92,63,7.4922,0.089,5,0.422,0.94,0,139,0.046,0.1604,29.0476,0,0.02,11,1,0,0.017,0.0201,0,1,1.7222,2.6111,18.055,0,1,0,0.05,0,0.05,0,0,0,0,0.471,0.56,0.1667,0,0.0143,-0.8916,667.89,"Jamaica"
-97.229,16.759,211,0.8,57.3,7.9367,0.032,3,0.2,0,0.88,71,0.022,0.1739,14.5146,0,0,1958,1,0,0.026,0.0134,0,0,3.6667,3.6667,16.759,0,0,0,0.89,0,0.3,0,0,0,0,0.675,0.06,0.6667,1,0.0285,-1.2406,10995.38,"Mexico"
-86.277,12.211,-77,0.66,47.3,7.3011,0.039,3,0.333,0.009,0.646,103,0.0139,0.1262,142.2124,0,0.32,130,1,0,0.012,0.0165,0.2,1,5.1111,4.7222,12.211,81,0,0,0.95,0,0.1,0,0,0,0,0.839,0.05,0.1667,1,0.0317,-1.2154,442.8238,"Nicaragua"
-79.391,9.206,260,0.96,60.9,7.3159,0.001,3,0.276,0.14,0.695,129,0.0388,0.2231,0.001,0,0,77,1,0,0.046,0.0365,0.16,0,5.7222,4.8333,9.206,0,0,0,0.93,0,0.28,0,0,0,0,0.964,0.06,0.1667,1,0.025,-1.0978,382.9728,"Panama"
-118.21,34.36,196,1,69.8,9.1875,0.018,5,1,0.886,0.089,90,0.0667,0.1451,0.001,0,0,9373,0,0,0.321,0.0383,0,1,1,1,34.36,0,1,0,0.28,0,0.5,0,0,0.02,0,0.298,0.56,1,0,0.011,-0.9039,73171.76,"United States"
-60.558,-36.676,64,0.98,65.2,8.0999,0.023,5,0.089,0,0.836,113,0.016,0.12,66.8497,0,0.16,2767,1,0,0.109,0.0223,0.96,1,3.9444,3.5556,36.676,0,0,0,0.9,0,0.31,0,0,0.02,0,0.861,0.02,0.3333,1,0.0153,-0.9329,8110.334,"Argentina"
-68.157,-15.19,127,0.64,42.8,7.0058,0.075,3,0.733,0,0.372,181,0.014,0.1195,236.0656,0,0.03,1099,1,0,0.036,0.0158,1.19,0,4.1111,3.6667,15.19,0,0,0,0.95,0,0.68,0,0,0,0,0.969,0.03,0.1667,1,0.0251,-1.0631,1184.031,"Bolivia"
-70.527,-33.554,139,1,57.3,7.9718,0.155,5,0.422,0,0.931,100,0.0152,0.13,331.3571,0,0.54,757,1,0,0.042,0.0262,0.2,1,5.7778,4.6667,33.554,0,0,0,0.89,0,0.14,0,0,0,0,0.956,0.11,0.8333,1,0.0183,-1.1215,2480.6411,"Chile"
-74.114,4.788,212,0.77,53.2,7.4128,0.062,3,0.089,0,0.98,81,0.016,0.1644,14.6629,0,0.184,1139,1,0,0.017,0.023,0,1,2.1111,2.8889,4.788,0,0,0,0.95,0,0.06,0,0,0,0,0.919,0,0.3333,1,0.0244,-1.1953,4823.1411,"Colombia"
-80.051,-2.062,220,0.83,53.4,7.2661,0.098,3,0.844,0,0.714,113,0.027,0.2172,24.0514,1,0.201,284,1,0,0.026,0.0155,0.56,0,3.7222,3.1111,2.062,0,0,0,0.95,0,0.53,0,0,0,0,0.983,0,0.6667,1,0.0295,-1.1501,1397.156,"Ecuador"
-57.464,-25.583,191,0.98,63.9,7.0967,0.005,3,0.133,0,0.036,141,0.01,0.107,45.9186,0,0.101,407,1,0,0.024,0.0138,0.08,0,4.9444,5.2222,25.583,0,0,0,0.9,0,0.14,0,0,0,0,0.911,0.05,0.1667,1,0.0298,-1.1379,568.567,"Paraguay"
-76.624,-11.794,4,0.83,48,7.5684,0.022,3,0.489,0,0.564,83,0.02,0.1006,33.2265,0,0.023,1285,1,0,0.041,0.0245,0.28,1,3.7778,3.7778,11.794,0,0,0,0.95,0,0.59,0,0,0,0,0.985,0,0.3333,1,0.0262,-1.1397,3176.927,"Peru"
-56.223,-34.822,59,1,67.3,8.255,0.001,3,0.111,0,1,92,0.015,0.1035,27.9394,0,0.021,177,1,0,0.079,0.0241,0,0,4.2222,4.1667,34.822,77,0,0,0.66,0,0.2,0,0,0.02,0,0.796,0.02,0.5,1,0.0067,-0.9029,1028.905,"Uruguay"
-72.295,9.843,17,1,59.8,8.727,0.11,3,0.311,0,0.969,109,0.035,0.0795,48.9034,1,0.304,912,1,0,0.043,0.018,0.32,0,1.2222,2.0556,9.843,87,0,0,0.96,0,0.11,0,0,0,0,0.985,0.02,0.5,1,0.0326,-1.1451,2387.136,"Venezuela"
114.1,22.704,607,0.87,66,7.7062,0.001,5,1,0.004,0.98,116,0.0684,0.1307,0.513,1,0.002,1,0,0,0.044,0.0168,0,0,3.61,2.11,22.704,0,1,0.3,0.05,0.3,0.02,0,0,0,0,0.041,0.05,1,0,0.0218,-0.9431,1197.405,"China"
34.811,32.084,311,0.98,71.7,8.1161,0.006,4,0.222,0,0.338,110,0.1112,0.1747,13.8509,0,0.21,21,0,0,0.102,0.0368,0,1,2,2.3333,32.084,79,1,0,0.01,0,0.2,0,0,0.82,0.14,0.295,0.01,0.1667,0,0.0261,-1.0244,758.926,"Israel"
139.44,35.712,518,1,67.7,7.9983,0.003,5,0.733,0,0,118,0.1223,0.2377,0.001,1,0,378,0,0,0.095,0.0317,0,0,1.4444,1,35.712,0,0,0.87,0,0,0.01,0,0,0,0,0.067,0.01,1,0,0.0095,-0.744,44714.421,"Japan"
36.314,31.602,199,0.77,47.2,7.0397,0.037,5,0.667,0,1,116,0.0346,0.142,3.5906,0,0.021,89,0,0,0.006,0.0329,0.2,1,5.7222,5.6667,31.602,0,1,0,0.04,0,0.05,0,0,0,0.92,0.838,0.04,0.1667,0,0.0284,-1.3509,439.005,"Jordan"
126.99,37.553,662,0.94,54.2,6.7833,0.007,3,0.6,0,0,110,0.062,0.1617,28.1956,1,0.602,99,0,0,0.047,0.0352,0.4,0,4.4444,5.1667,37.553,0,0,0.16,0.12,0.6,0,0,0,0,0,0.234,0.12,0.5,0,0.0186,-1.0844,8453.514,"South Korea"
101.51,3.269,431,0.96,54.3,7.2306,0.103,5,1,0,0.309,88,0.04,0.1924,2.1525,1,0.018,330,0,0,0.012,0.0281,0.04,0,3.1111,4.0556,3.269,0,1,0.27,0.01,0.01,0.72,0,0.07,0,0.54,0.926,0.02,0.6667,0,0.0262,-1.061,2817.254,"Malaysia"
72.914,31.173,266,0.3,43.3,6.4329,0.006,3,0,0,0,77,0.015,0.1073,35.2203,0,0.61,796,0,0,0.01,0.0154,0.32,1,4.9444,4.7778,31.173,0,1,0,0.01,0,0.64,0,0.01,0,0.97,0.428,0.01,0.1667,0,0.0306,-1.0694,17144.56,"Pakistan"
121.03,13.922,125,0.95,53.1,7.0139,0.019,3,0.156,0,0.012,92,0.03,0.1193,20.9833,0,0.34,300,0,0,0.127,0.0233,0.44,1,4.2778,4.2778,13.922,0,0,0.02,0.83,0,0.74,0,0,0,0.05,0.924,0.09,0.1667,0,0.0275,-0.9634,10517.28,"Philippines"
103.81,1.355,616,1,63.7,7.4103,0.001,4,1,0.089,0.713,87,0.1482,0.1742,1.7922,1,0.018,1,0,0,0.064,0.0334,0,0,4.5,4.9444,1.355,0,1,0.46,0,0.15,0.42,0,0.06,0,0.15,0.695,0,1,0,0.0169,-1.1132,536.769,"Singapore"
80.019,6.868,212,0.95,62.3,7.1444,0.014,2,0.4,0.009,0,51,0.011,0.1372,268.4733,1,0.871,66,0,0,0.006,0.0382,0.08,1,2.4444,3.4444,6.868,0,1,0.69,0.04,0,0.47,0,0.15,0,0.08,0.986,0.04,0.3333,0,0.0191,-1.0244,3550.151,"Sri Lanka"
121.37,25.02,609,0.96,65.4,7.2145,0.022,3,0.711,0,0.99,116,0.0519,0.1554,0.001,1,0.154,36,0,0,0.046,0.0142,0.05,0,5.1667,4.6667,25.259,0,0,0.31,0.02,0.31,0.42,0,0,0,0,0.163,0.02,1,0,0.0219,-1.093,3617.479,"Taiwan"
100.61,13.77,457,0.83,52.7,6.8276,0.017,3,1,0,0.023,75,0.023,0.1578,4.5632,0,0.027,513,0,0,0.019,0.0181,0.44,1,3.9444,3.7778,13.77,0,0,0.95,0,0,0.66,0,0,0,0.04,0.92,0.01,0.5,0,0.0257,-0.6747,13441.45,"Thailand"
16.02,48.231,292,1,68.8,8.5471,0.004,4,0.778,0,0.98,100,0.1006,0.1339,0.001,0,0,84,0,0,0.08,0.0248,0,0,1,1,48.231,0,0,0,0.85,0,0.13,0,0,0,0,0.198,0.06,1,0,0.0024,-0.7336,3384.449,"Austria"
4.37,50.837,286,1,69.7,8.6223,0,5,0.778,0,0.345,100,0.0635,0.1708,0.001,1,0,31,0,0,0.09,0.0463,0,0,1,1,50.837,88,0,0,0.75,0,0.55,0,0,0,0,0.238,0.13,1,0,0.0025,-0.954,3525.736,"Belgium"
33.108,35.081,453,1,68.8,7.6202,0.004,5,1,0,0.003,92,0.0551,0.2578,3.0204,0,0.03,9,0,0,0.009,0.0118,0.12,1,2.1111,2.8333,35.081,0,1,0,0,0,0.35,0,0,0,0.18,0.843,0,0.3333,0,0.0068,-0.8914,234.9873,"Cyprus"
12.393,55.718,230,1,72.2,8.817,0.006,4,0.778,0,0.005,112,0.0735,0.1926,0.001,0,0,43,0,0,0.104,0.0339,0,0,1,1,55.718,0,0,0,0.01,0,0.05,0,0,0,0,0.46,0.92,1,0,0.0037,-0.7837,2092.143,"Denmark"
24.994,60.212,264,0.97,68.5,8.5912,0.004,4,0.778,0,0,126,0.117,0.2521,0.001,0,0,338,0,0,0.074,0.0446,0,0,1.8333,1.9444,60.212,76,0,0,0,0,0.16,0,0,0,0,0.333,0.89,1,0,0.0042,-0.7833,2024.067,"Finland"
2.365,48.857,267,1,70.4,8.6963,0.005,4,0.8,0,1.004,98,0.0813,0.1811,0.001,0,0,552,0,0,0.075,0.0231,0,0,1,1.8611,48.857,90,0,0,0.9,0,0.26,0,0,0.01,0.01,0.253,0.02,1,0,0.0071,-0.8391,19740.06,"France"
11.54,48.161,257,1,69.4,8.8039,0.005,5,0.8,0,0.949,109,0.0779,0.2079,0.001,1,0,249,0,0,0.061,0.0211,0.08,0,1,1.6389,48.161,76,0,0,0.37,0,0.03,0,0,0,0,0.109,0.45,1,0,0.0029,-0.7504,26175.46,"Germany"
23.705,38.058,371,1,68.8,7.6334,0.017,4,0.8,0,0,116,0.0684,0.2251,3.5865,0,0.007,132,0,0,0.039,0.0137,0.2,1,1.9444,2.2222,38.058,86,0,0,0,0,0.1,0,0,0,0.01,0.654,0,0.5,0,0.0069,-0.9002,3384.926,"Greece"
-6.692,54.611,350,1,69.7,8.0542,0.009,5,0.644,0.742,0,119,0.0728,0.187,0.001,1,0,70,0,0,0.081,0.0286,0,0,1,1.2222,54.611,78,1,0,0.93,0,0.04,0,0,0,0,0.593,0.03,0.8333,0,0.009,-0.9294,1118.863,"United Kingdom"
9.261,45.415,316,1,69.4,8.4468,0.002,3,0.8,0,0.006,92,0.0603,0.1891,0.001,1,0,301,0,0,0.066,0.0303,0.04,0,1.2222,1.5556,45.415,81,0,0,1,0,0.04,0,0,0,0,0.168,0,0.8333,0,0.0047,-0.8848,20722.56,"Italy"
4.391,51.874,239,1,73.3,8.7167,0.027,4,0.8,0,0,105,0.0808,0.1778,0.001,1,0,37,0,0,0.132,0.0412,0,0,1,1,51.874,76,0,0,0.36,0,0.1,0,0,0,0,0.433,0.27,1,0,0.0085,-1.0362,4073.104,"Netherlands"
10.738,59.977,312,1,73.4,8.6405,0.079,4,0.778,0,0,107,0.1014,0.1905,0.001,0,0,324,0,0,0.069,0.0349,0,0,1,1,59.977,80,0,0,0.02,0,0.04,0,0,0,0,0.446,0.9,1,0,0.0055,-0.935,1405.901,"Norway"
-9.209,38.816,402,1,63.7,7.5305,0.027,4,0.778,0,1,92,0.0569,0.1687,6.7826,0,0.002,92,0,0,0.035,0.0138,0.28,0,2.2222,2.3889,38.816,0,0,0,0.97,0,0.01,0,0,0,0,0.361,0.01,1,0,0.006,-0.9673,3354.763,"Portugal"
-5.71,37.398,357,1,68.9,8.0599,0.006,5,0.778,0,0.728,89,0.0471,0.1303,0.001,0,0,505,0,0,0.04,0.0097,0.08,0,2.3889,2.8889,37.398,77,0,0,0.99,0,0.44,0,0,0,0,0.465,0,0.8333,0,0.0088,-0.9684,11563.76,"Spain"
18.046,59.278,192,0.96,73.2,8.9233,0.003,4,0.778,0,0,142,0.051,0.1943,0.001,0,0,450,0,0,0.091,0.0412,0,0,1.0556,1,59.278,90,0,0,0.02,0,0.08,0,0,0,0,0.251,0.95,1,0,0.0038,-0.8269,3271.752,"Sweden"
8.652,47.408,168,1,71.3,9.1734,0.033,5,1,0,0.84,127,0.053,0.2449,0.001,1,0,41,0,0,0.067,0.0297,0,0,1,1,47.408,0,0,0,0.48,0,0.5,0,0,0,0,0.104,0.44,1,0,0.007,-0.761,2505.126,"Switzerland"
28.568,41.202,271,0.75,50.5,7.374,0.02,3,0.133,0,0.014,99,0.039,0.1631,20.2742,0,0.749,779,0,0,0.029,0.0268,0.307,1,3.3333,3.8889,41.202,0,0,0,0,0,0.25,0,0,0,1,0.911,0,0.5,0,0.0243,-0.6781,13963.57,"Turkey"
-0.126,51.51,207,0.92,70.8,8.7809,0.022,4,0.778,0.974,0,99,0.0686,0.1158,0.001,1,0,245,0,0,0.09,0.0345,0.24,0,1,1,51.51,0,0,0,0.15,0,0.32,0,0,0.01,0,0.167,0.84,1,0,0.0028,-0.7707,24232.53,"United Kingdom"
